featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,7 July 2015,00:00:27,Senior Manager,,,,,,0,"Stable job, relatively higher pay than the market because this is a half government job.",No big bonus & performance reward...,Need to set up a better performance review standard to get rid of those who are not contributing as much but earning a lot because they have worked at ASTRI for many years. We need to be more commercialised!,4.0,4.0,4.0,,3.0,4.0,2.0,Recommends,Positive Outlook,,,,
0,0,0,23 June 2015,01:35:51,Great management and vision,,Hong Kong,,,,0,leadership team have great vision and see how the organisation's direction can be aligned with Hong Kong's long term goal of being a regional technology hub,no cons so far detected.,,5.0,5.0,5.0,,5.0,3.0,5.0,Recommends,Positive Outlook,,,,
0,0,0,11 May 2015,11:32:00,Waste a lot of time on proposal writing..., Senior Analog Mixed Signal Design Engineer,Hong Kong,"11 May 2015
""Waste a lot of time on proposal writing...""
1.0
★★★★★
Former Employee ",full-time, more than 5 years,0,"Friendly colleagues, Good medical benefit programme, Nice office environment, Good computing hardware, your voice can change project direction",No systematic training framework for new engineer. Teams work completely separated with sharing of resource.,Let the engineers to focus on engineering work and R&D instead of supporting all the ITC documents.,1.0,4.0,1.0,,3.0,3.0,1.0,Doesn't Recommend,Negative Outlook,,,,
0,0,0,8 February 2015,19:48:49,A rather suffocating work environment for a tech firm,Software Engineer,Sha Tin,,,,3,I am able to do my job within my own parameters without too much disturbance from higher management or coworkers.,The company feels rather dead for a tech firm. It hires a large number of PhDs while acting a mediocre supportive role in the industry. Total waste of talent.,Value the employees and pay them better. They don't have enough motivation and money would be a necessary start point.,3.0,2.0,1.0,,3.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,22 November 2014,22:22:17,unhappy and disappointed..., Senior Engineer,Hong Kong,"22 November 2014
Helpful (5)
""unhappy and disappointed...""
1.0
★★★★★
Former Employee ",full-time, less than a year,5,"- stable
- seldom work over time
- getting ITF grant is easy if external investment is involved
- getting external investment is also easy if you could provide a much cheaper offer to the investor
- good working environment, e.g. spacious working space, large desk, quiet, gorgeous sea view","- slow and a little bit of bureaucracy
- below market salary, so people are not great, some are even incompetent
- most projects are not technologically driven, but investors driven
- good for investors to have cheap product that suit their needs, but bad for engineers who want to grow and invent 
- people are generally not committing more than 60% effort, some are in 'retiring mode' or 'pretend to be busy mode'",Be honest to the employees. Let them know the reality. Let them know this is not a place for making any kind of innovation.,1.0,4.0,1.0,,1.0,1.0,1.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,28 October 2014,18:48:31,Relax but with low paid, Senior Engineer,Hong Kong,"28 October 2014
Helpful (1)
""Relax but with low paid""
3.0
★★★★★
Current Employee ",full-time, more than a year,1,"Staffs are very nice, work load is reasonable, a very nice environment with sea view,work time is very regular Salary is always on time","Not much chance to get promotion, the salary is low while the living cost in HK is very high. Also, a little bit of bureaucracy. Do not find the impetus",,3.0,4.0,3.0,,3.0,2.0,3.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,18 August 2014,00:37:42,It depends on the team leader and project,,,,,,1,I was lucky to work in a great team with a great leader and many smart team members. We worked very hard to achieve a lot in a great project. My professional experience grew up quickly during the period.,The salary is not competitive. There is few opportunity for training. The company culture has not been built up well.,,3.0,,,,,,,,,,,,
0,0,0,18 July 2014,21:49:47,"good company, met a lot of friends here.", Embedded Software Engineer,Hong Kong,"18 July 2014
Helpful (1)
""good company, met a lot of friends here.""
4.0
★★★★★
Former Employee ",full-time, more than a year,1,nice ppl around. They pay attentions to areas even like interactive design.,typical company founded by government. No pressure from market. Fresh graduated student cannot learn a lot,"There is quite few they could do. Actually, they are enjoying their pre-retiring time, happily....",4.0,5.0,4.0,,3.0,4.0,4.0,Recommends,Neutral Outlook,,,,
0,0,0,26 March 2014,11:00:48,An organization for keeping incompetence, Senior Engineer,Ma Liu Shui,"26 March 2014
""An organization for keeping incompetence""
1.0
★★★★★
Former Employee ",full-time, more than a year,0,"Pseudo-retirement environment:
- Infinite money from goverment.
- No need to meet deadline.
- No need to monitor quality of work.
- It's OK even if a project fails. (somehow you get praised because you fail......)
- A normal experienced engineer only need to work less than 10% of time a day.
- Incompetent staffs can stay
- Guaranteed yearly raise higher than inflation.
- Can work till retire","Doomed job:
- 2nd hand technology, which the market does not need.
- Competent staffs are kicked away, so-called ""spin off"".
- Competence level keeps going down after 2 years of stay.
- No one can manage discipline of staffs
- Most employees cannot re-enter the job market because of high salary and incompetence.
- Once you leave ASTRI, you can really retire, because you can't find an R&D job in HK any more.","This is really a miserable job for those who really contribute to the productive flow:
- There is no clear target.
- There is no regular team meeting so staffs don't know how their procrastinations affect the others.
- Managements are so inexperienced that they don't really care about the staffs.

My suggestion: go back to industry and then you know what I mean.",1.0,1.0,1.0,,2.0,4.0,1.0,Recommends,Neutral Outlook,,,,
0,0,0,23 April 2013,07:57:43,Job nature, Senior Engineer,Hong Kong,"23 April 2013
""Job nature""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,"Free, less pressure, get off work on time","low salary, slow lift, less passion",create a better career path for employees,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,13 September 2012,05:07:14,nice company, Project Intern,Sha Tin,"13 September 2012
""nice company""
5.0
★★★★★
Current Employee ",full-time, less than a year,0,reasonable working hours and sufficient time for learning new knowledges,"salary is not high, maybe just around the avg. for the 1st year employees",none,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,,,,
0,0,0,25 July 2012,01:13:15,"Nice place to work, stable but prospect is poor", Engineer,Sha Tin,"25 July 2012
""Nice place to work, stable but prospect is poor""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Stable, seldom OT, always renew contract","No careers prospect, no methodology",Improve the staff incentive,4.0,4.0,4.0,,3.0,4.0,3.0,Recommends,Neutral Outlook,,,,
0,0,0,23 October 2019,10:02:13,Good place to work for engineers in HK, Engineer,,"23 October 2019
""Good place to work for engineers in HK""
4.0
★★★★★
Former Employee ",full-time, more than 5 years,0,Good place for new engineering graduate in HK,"Slow pace. pro or con, depending on your own ambitions",,4.0,5.0,4.0,,4.0,4.0,3.0,Recommends,Positive Outlook,,,,
0,0,0,31 July 2018,08:13:45,Good location and environment,Senior Engineer,Shatin,,,,0,Good time good place not too busy,Medium salary better training program,,5.0,5.0,5.0,,5.0,5.0,5.0,Positive Outlook,Approves of CEO,Approves of CEO,,,
0,0,1,7 March 2017,05:16:08,Average,,,"7 March 2017
""Average""
3.0
★★★★★
Former Employee ",full-time,,0,"Nice environment, chances to explore new things",Workplace is far away from city center,,3.0,4.0,3.0,,3.0,3.0,3.0,,,,,,
