featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,1,2 April 2019,04:48:12,Research Fellow,,,"2 April 2019
""Research Fellow""
4.0
★★★★★
Former Employee ",full-time,,0,"Flexible working schedule, good university facilities, accessibility to canteens, sports center, swimming pool, nice working environment and good relationship with colleagues and supervisor","It is a temporary job by term, it's hard to get a steady position. The compensation is moderate with low opportunity to inceease",,4.0,5.0,5.0,,3.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,6 April 2019,20:49:55,Limiting, Postdoctoral Fellow,,"6 April 2019
""Limiting""
1.0
★★★★★
Current Employee ",full-time, more than a year,0,"- boss is good
- colleagues are friendly
- interesting work
- good restaurants","- no career advancement opportunities 
-no funding of junior research staff for conferences unlike other universities.
- don’t bother applying if you cannot get at least an Assistant Professorship in CityU. Anything below is a waste of time.
- lower salary than HKUST or HKU and even CUHK. 
- miserable annual leave allowance (1 day per month if you are contract staff)
- admin workload is dumped onto research staff. Best ever : they asked for ‘volunteers’ to get free manpower.
- no space. 
- expected to get own funding to publish papers but refuses to let junior staff be a PI - please go to point 1 again",Fix the cons.,1.0,1.0,2.0,,1.0,1.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,1,19 February 2019,21:32:58,Student Helper,,,"19 February 2019
""Student Helper""
5.0
★★★★★
Former Employee ",part-time,,0,"Supportive staff, flexible work hours","Nothing to complain about, just a summer job",,5.0,,,,,,,,,,,,
0,0,1,27 January 2019,20:39:14,RA,,,"27 January 2019
""RA""
4.0
★★★★★
Current Employee ",full-time,,0,GOOD LEADERSHIP; good experience and technology,"LOW SALARY' pressure', and sometimes no good equipment",,4.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,13 December 2018,21:54:46,Depends on Supervisor, Research Assistant,Hong Kong,"13 December 2018
""Depends on Supervisor""
5.0
★★★★★
Former Employee ",full-time, less than a year,0,My supervisor has lots of funding and he is very generous to students. Our commute time is included in working hours and we don't need to back to office. Easy work.,"We don't have a large team, and all communication is made directly with professor. If you want to gain team work experience or gain new skills, you may need to seek out big and productive team.",,5.0,5.0,5.0,,5.0,4.0,5.0,Recommends,Positive Outlook,No Opinion of CEO,,,
0,0,1,20 December 2018,08:50:58,Gallery Manager,,,"20 December 2018
""Gallery Manager""
3.0
★★★★★
Former Employee ",full-time,,0,"Free, the university is wealthy and offered opportunities","Bureaucracy, the senior management arbitrary",,3.0,3.0,2.0,,3.0,2.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,9 December 2018,23:06:36,Diversified tasks with Heavy Workload, Clerical Officer,"Kowloon Tong, Kowloon City","9 December 2018
Helpful (1)
""Diversified tasks with Heavy Workload""
3.0
★★★★★
Current Employee ",full-time, more than 3 years,1,Possibility to travel overseas for recruitment; exposure to many different tasks,"tasks are scattered, unorganized and workload is heavy, need to take care of senior management as well",,3.0,5.0,2.0,,2.0,3.0,1.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,1,11 November 2018,04:03:34,Research Assistant,,,"11 November 2018
""Research Assistant""
3.0
★★★★★
Former Employee ",part-time,,0,"Nice people and great location, stable and average pay",employees need to be self-motivated,,3.0,,,,,,,,,,,,
0,0,0,19 September 2018,21:41:58,CityU is a good place for learning, PhD Student,Hong Kong,"19 September 2018
""CityU is a good place for learning""
4.0
★★★★★
Current Employee ",full-time, more than 3 years,0,"Good equipment, good accessibility from everywhere with public transportation",It is better to be familiar with Chinese language and working load is really high,,4.0,3.0,4.0,,5.0,4.0,4.0,No Opinion of CEO,,No Opinion of CEO,,,
0,0,0,3 September 2018,19:42:49,A nice university,Assistant Professor,Hong Kong,,, less than a year,0,"1. Easy to hire good students from China.
2. Good salary",Housing is the major con. The price is too high and the living area is very small.,,5.0,4.0,4.0,,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,1,29 August 2018,03:45:44,Helper,,,"29 August 2018
""Helper""
5.0
★★★★★
Current Employee ",part-time, less than a year,0,This job provides important experience for further career development and provides many practices.,The campus is fairly small.,,5.0,,,,4.0,,,,,,,,
0,0,1,6 September 2018,23:33:26,phd candidate,,,"6 September 2018
""phd candidate""
4.0
★★★★★
Current Employee ",full-time,,0,Good location and good university reputation,Very competitive and small office,,4.0,,,,,,,,,,,,
