featured,covid-19,anonymous,date,time,headline,role,location,status,contract,years,helpful,pros,cons,advice_to_mgmt,main_rating,work_life_balance,culture_and_values,diversity_inclusion,career_opportunities,comp_and_benefits,senior_management,recommends,outlook,CEO_approval,response_date,response_role,response
0,0,0,29 July 2020,19:51:38,Bad working environment, Research Assistant,"Kwun Tong, Kowloon City","29 July 2020
""Bad working environment""
2.0
★★★★★
Current Employee ",full-time,,0,Free working hours and place,"Lots of work, unfriendly co-workers",,2.0,4.0,2.0,,2.0,2.0,3.0,,,,,,
0,0,0,15 July 2020,18:58:00,Ok employer, Lecturer,Hong Kong,"15 July 2020
""Ok employer""
3.0
★★★★★
Current Employee ",part-time,,0,"stable income, well organised, well paid",Quite a lot of Bureaucratic procedure,,3.0,3.0,3.0,,4.0,3.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,0,10 July 2020,00:04:24,ok, Lab Technician,Hong Kong,"10 July 2020
""ok""
3.0
★★★★★
Former Employee ",full-time,,0,"the environment is friendly, people are nice",contract base renew every year,,3.0,,,,,,,,,,,,
0,0,0,10 July 2020,01:20:44,boring job, Student Ambassador,Hong Kong,"10 July 2020
""boring job""
3.0
★★★★★
Former Employee ",part-time, more than a year,0,there is nothing to do during working hours,low salary and boring tasks to finish,,3.0,5.0,1.0,,1.0,1.0,2.0,Doesn't Recommend,Neutral Outlook,,,,
0,0,0,10 June 2020,01:38:25,A good temporary job for fresh grads looking into further study, Research Assistant,Hong Kong,"10 June 2020
""A good temporary job for fresh grads looking into further study""
4.0
★★★★★
Former Employee ",full-time, less than a year,0,"steady income, average pay, no OT","limited development support, average pay",,4.0,5.0,4.0,,4.0,4.0,4.0,,,,,,
0,0,0,4 June 2020,04:42:03,RA at HKBU, Research Assistant,"Kowloon City, Kowloon City","4 June 2020
""RA at HKBU""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,Sports facilities are very good,Research is not better than other universities,,4.0,5.0,5.0,,4.0,4.0,5.0,Recommends,Negative Outlook,Approves of CEO,,,
0,0,0,18 June 2020,06:44:40,Rating for Research Laboratory Workers, Graduate Research Assistant,Hong Kong,"18 June 2020
""Rating for Research Laboratory Workers""
2.0
★★★★★
Former Employee ",full-time,,0,"Friendly, dynamic, and resourceful environment with an open-door policy. It is easy to go around and ask people for help even when it comes to borrowing resources such as chemicals.","Lack of state-of-the-art equipment is an absolute downfall of the university. The corridor of the science labs is extremely narrow. Workplace toxicity is rampant, with unfortunately a lot of it comes from the professors themselves, and some colleagues can be very conservative. There are also cases when research ideas can be scooped with few people caring about research ethics. Backstabbing is a common practice there. The ""publish or perish"" culture is definitely present at the moment (written in 2020)",Good luck. May God find mercy in our souls,2.0,1.0,2.0,,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,6 April 2020,02:21:28,Good, IT Manager,Hong Kong,"6 April 2020
""Good""
3.0
★★★★★
Current Employee ",full-time,,0,Working hours and office space,No promotion and cutting benefits,,3.0,3.0,3.0,,2.0,3.0,3.0,Doesn't Recommend,Negative Outlook,No Opinion of CEO,,,
0,0,0,8 March 2020,21:44:43,University jobs, Senior Officer,"Kowloon Tong, Kowloon City","8 March 2020
""University jobs""
4.0
★★★★★
Current Employee ",full-time, more than 8 years,0,Salary package is good,Low chance for career advancement,,4.0,4.0,3.0,,3.0,5.0,3.0,,,,,,
0,0,0,4 March 2020,02:57:15,Had a wonderful time learning and growing, Research Assistant,,"4 March 2020
""Had a wonderful time learning and growing""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"- Most people were willing to try new things
- Work-life balance
- Receptive to new ideas
- Friendy coffee shop right next to the Library",- Low salary or hard to negotiate,,5.0,5.0,5.0,,3.0,2.0,4.0,Recommends,Positive Outlook,,,,
0,0,0,23 January 2020,03:01:16,Research assistant, Aircraft Maintenance Supervisor,Hong Kong,"23 January 2020
""Research assistant""
4.0
★★★★★
Current Employee ",full-time, less than a year,0,Nice location. Colleagues are nice too. Employee benefits such as medical and dental services.,There is too much bureaucracy in the system,,4.0,5.0,4.0,,2.0,4.0,3.0,Recommends,Positive Outlook,Disapproves of CEO,,,
0,0,1,5 December 2019,18:35:38,Project assistant,,,"5 December 2019
""Project assistant""
5.0
★★★★★
Former Employee ",part-time,,0,"friendly colleagues
interesting project
relax environment",not much except it is a part-time contract,,5.0,5.0,4.0,,2.0,2.0,4.0,,,,,,
0,0,1,21 November 2019,01:31:19,Assistant Professor,,,"21 November 2019
""Assistant Professor""
5.0
★★★★★
Current Employee ",full-time,,0,warm environment; management is quite supportive,Small university; little number of international students,,5.0,5.0,5.0,,5.0,5.0,4.0,Recommends,Neutral Outlook,Approves of CEO,,,
0,0,1,26 October 2019,00:20:25,Research assistant,,"Kowloon Tong, Kowloon City","26 October 2019
""Research assistant""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,"18 days annual leave
Flexible working time","Sometimes, working space is too narrow",,5.0,5.0,4.0,,4.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,19 October 2019,08:13:59,Great Place to Work!, Assistant Lecturer,Hong Kong,"19 October 2019
""Great Place to Work!""
4.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"I had great, supportive coworkers. The curriculum was provided and I was able to supplement my lessons with my own materials.","Mandatory meetings with the larger college department felt unnecessary as it didn't deal directly with my own department, and it did not seem fair to vote for certain programs if people aren't familiar or involved in it.",,4.0,3.0,4.0,,4.0,4.0,3.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,4 September 2019,23:42:03,Clerk,,,"4 September 2019
""Clerk""
4.0
★★★★★
Former Employee ",part-time,,0,Nice place and nice people,may be little career opportunities,,4.0,4.0,3.0,,3.0,4.0,3.0,,,,,,
0,0,0,2 September 2019,19:46:50,phd student, PhD Candidate,Hong Kong,"2 September 2019
""phd student""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"paid on time, good working atmosphere.",need improvement on communication and new facilities,,5.0,3.0,5.0,,5.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,1,22 August 2019,01:54:00,Research assistant,,,"22 August 2019
""Research assistant""
4.0
★★★★★
Current Employee ",full-time,,0,A lot of time and opportunity to learn,No promotion possibility what so ever.,,4.0,,,,,,,,,,,,
0,0,0,4 August 2019,07:32:59,Assistant Professor, Assistant Professor,Hong Kong,"4 August 2019
""Assistant Professor""
5.0
★★★★★
Former Employee ",full-time, more than 3 years,0,"Good working environment, nice students,","Competitive, office politics and bad canteen",,5.0,4.0,4.0,,4.0,4.0,4.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,3 August 2019,00:14:08,Research Assistant,,,"3 August 2019
""Research Assistant""
5.0
★★★★★
Current Employee ",full-time,,0,excellent colleagues in the School of Communication,do cons so far I think,,5.0,,,,,,,,,,,,
0,0,1,24 June 2019,01:59:11,RA,,,"24 June 2019
""RA""
5.0
★★★★★
Current Employee ",full-time,,0,"Flexible working hours , convenient place","No cons, everything is fine",,5.0,5.0,5.0,,5.0,5.0,5.0,,,,,,
0,0,1,20 May 2019,18:28:47,Assistant Manager,,,"20 May 2019
""Assistant Manager""
2.0
★★★★★
Current Employee ",full-time, less than a year,0,Workload is fair compared with private market.,"No bonus.
Bureaucratic, lots of procedures (yet clear), lots of departments and teams, unclear division of works.
Political, works are not fairly distributed, orders may be ridiculous.",,2.0,4.0,2.0,,1.0,3.0,2.0,Recommends,Neutral Outlook,No Opinion of CEO,,,
0,0,1,17 April 2019,02:24:47,Assistant Professor,,,"17 April 2019
""Assistant Professor""
4.0
★★★★★
Current Employee ",full-time,,0,learn skills and friendly colleagues,long work hours with low payment,,4.0,2.0,2.0,,2.0,2.0,1.0,Doesn't Recommend,,Disapproves of CEO,,,
0,0,0,4 May 2019,21:12:33,Languages instructor, Teacher,"Tsim Sha Tsui, Kowloon City","4 May 2019
""Languages instructor""
1.0
★★★★★
Current Employee ",part-time, more than 5 years,0,Independence in work organization and class planning,A lot of administrative work and not paid for that,Salary revision from time to time,1.0,1.0,3.0,,1.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,No Opinion of CEO,,,
0,0,0,17 March 2019,03:53:28,Ideal place to start your PhD study, PhD Candidate,,"17 March 2019
""Ideal place to start your PhD study""
5.0
★★★★★
Current Employee ",full-time, more than 3 years,0,All full time PhD students are provided with the standard fellowship in their normal study period. The school also hosts lots of workshops/talks in general topics for you to gain knowledge outside your field.,Limited extra scholarships for research postgraduates. There are many of them for undergraduates.,Keep investing in STEM to grow the scientific research facilities and community.,5.0,,,,,,,,,,,,
0,0,1,7 April 2019,08:46:10,"Poor Management, disappointed working environment, low salary and welfare",,"Kowloon Tong, Kowloon City","7 April 2019
""Poor Management, disappointed working environment, low salary and welfare""
1.0
★★★★★
Current Employee ",full-time, less than a year,0,"-leave office on time
-cheap coffee","-Poor Management, disappointed working environment, low salary and welfare 
-Move the financial office far away from campus, stupid arrangement
-Some students suffered from TB but the school reported lately",,1.0,3.0,2.0,,1.0,2.0,1.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO,,,
0,0,1,14 March 2019,22:24:41,Intern,,,"14 March 2019
""Intern""
3.0
★★★★★
Former Employee ",part-time,,0,"Fun projects, friendly colleagues",not to much to learn,,3.0,,,,,,,,,,,,
0,0,0,18 February 2019,23:59:49,Statistician, Statistician,,"18 February 2019
""Statistician""
5.0
★★★★★
Current Employee ",full-time, more than a year,0,it is a good job,but also a time consumer job,,5.0,5.0,5.0,,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
0,0,0,28 December 2018,02:06:19,Good Chance for Gap-year Graduate, Graduate Research Assistant,Hong Kong,,part-time, more than a year,0,Flexible Time and Valuable Experience from the Professor You Follow,Low Salary Comparing with Other Jobs,,5.0,5.0,4.0,,4.0,3.0,5.0,Recommends,Positive Outlook,Approves of CEO,,,
